"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"36","TXN","德州仪器","172.750","+0.290","0.17%","6079155","1043532917","159621000000","0.000","0.000","0","0","169.480","172.460","173.420","168.590","0.82","0.00%","2.80","20.914","0.66","-0.25","-0.21%","1.02%","1.86%","-2.24%","-10.01%","-10.84%","1.15%","-7.73%","半导体"
"37","TD","多伦多道明银行","76.960","+0.110","0.14%","1649735","126598295","139797840000","0.000","0.000","0","0","76.340","76.850","77.375","75.925","0.62","0.00%","1.89","12.779","0.09","-0.06","0.01%","-0.68%","-3.70%","-9.08%","4.76%","21.20%","21.38%","1.25%","银行-综合性"
"38","MRK","默沙东","77.890","+0.100","0.13%","8972190","698431728","196885170571.34","0.000","0.000","0","0","77.630","77.790","78.200","77.335","0.82","0.00%","1.11","15.153","0.36","-0.26","-0.12%","0.96%","5.96%","1.78%","7.09%","9.69%","10.08%","1.63%","药品制造商-通用"
"39","GE","通用电气","91.330","+0.080","0.09%","8115515","734080120","100401067483.06","0.000","0.000","0","0","87.770","91.250","91.600","87.452","1.20","0.00%","4.55","-14.826","0.76","-0.05","-0.17%","-1.12%","-1.22%","-7.90%","-1.76%","-8.86%","-14.20%","-3.24%","专业工业机械"
"40","ACN","埃森哲","309.520","+0.100","0.03%","2048963","630251676","195774151942.32","0.000","0.000","0","0","305.000","309.420","310.156","304.020","0.78","0.00%","1.98","33.790","0.32","-0.19","-0.11%","-2.96%","-2.10%","-12.94%","-17.84%","-7.20%","17.59%","-25.14%","信息技术处"
"41","DIS","迪士尼","133.640","-0.010","-0.01%","8447238","1123972482","243309448645.12","0.000","0.000","0","0","132.360","133.650","134.200","131.620","0.60","0.00%","1.93","122.605","0.46","-0.01","0.01%","-8.20%","-10.55%","-9.23%","-11.16%","-27.16%","-32.08%","-13.72%","娱乐"
"42","RTX","Raytheon Technologies","98.510","-0.010","-0.01%","5118396","503719967","147009525529.37","0.000","0.000","0","0","98.170","98.520","99.800","97.660","0.52","0.00%","2.17","38.480","0.38","-0.17","-0.06%","-1.32%","4.52%","3.19%","17.46%","19.49%","26.73%","15.10%","航天军工"
"43","BRK.B","伯克希尔-B","325.300","-0.100","-0.03%","3845454","1245745544","720283215973.3001","0.000","0.000","0","0","322.490","325.400","325.700","321.580","0.64","0.00%","1.27","8.206","0.21","-0.12","0.11%","-0.74%","5.52%","0.91%","12.17%","17.54%","27.76%","8.80%","保险-综合性"
"44","HSBC","汇丰控股","31.270","-0.010","-0.03%","4566257","142535491","126750346212.84","0.000","0.000","0","0","31.340","31.280","31.470","30.940","0.64","0.00%","1.69","10.087","0.11","-0.11","0.02%","-3.25%","-7.80%","-14.89%","13.23%","24.93%","10.14%","6.70%","银行-综合性"
"45","SHEL","Shell PLC","51.690","-0.020","-0.04%","4356648","224693783","197222696966.85","0.000","0.000","0","0","51.620","51.710","51.970","51.090","0.55","0.00%","1.70","10.056","0.11","-0.05","-0.02%","0.66%","0.19%","-4.76%","18.61%","30.39%","27.82%","20.31%","油气一体化"
"46","BRK.A","伯克希尔-A","487820.000","-425.000","-0.09%","1578","765428724","720091102620","0.000","0.000","0","0","484252.135","488245.000","490800.000","482520.010","0.79","0.00%","1.70","8.204","0.13","-0.11","0.05%","-0.70%","5.56%","0.81%","11.44%","17.15%","26.25%","8.25%","保险-综合性"
"47","BA","波音","178.390","-0.170","-0.10%","8364100","1491049952","105056984262.28","0.000","0.000","0","0","175.760","178.560","182.020","175.390","0.67","0.00%","3.71","-24.949","1.56","-0.26","-0.15%","-5.54%","-10.10%","-17.36%","-9.63%","-16.39%","-32.84%","-11.39%","航天军工"
"48","AMT","美国电塔","232.800","-0.310","-0.13%","1300343","300525556","106020308661.6","0.000","0.000","0","0","230.930","233.110","233.480","227.100","0.63","0.00%","2.74","41.130","0.29","-0.29","-0.11%","-1.04%","0.45%","-6.84%","-15.24%","-19.98%","8.66%","-20.41%","REIT-专业"
