"序号","代码","名称","最新价","涨跌额","涨跌幅","60日涨跌幅","年初至今涨跌幅","成交量","成交额","今开","换手率%","市盈率","总市值","总股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","昨收","最高","最低"
"157","BK2617","节日概念股","2292.249","-18.508","-0.80%","-4.38%","-5.41%","233792599","35433525321","2311.306","0.60","32.145","7468837583812.8398","41597039623","-2.20%","-1.49%","8.83%","-0.98%","5.11%","2310.757","2313.947","2284.373"
"158","BK2530","中概回港概念","947.965","-7.724","-0.81%","-24.17%","-17.72%","233204115","6496708980","954.050","2.15","28.026","679951906602.52","17720481646","-5.40%","-5.69%","19.96%","-37.74%","-54.56%","955.689","981.028","944.515"
"159","BK2063","休闲","1214.977","-9.964","-0.81%","-16.25%","-17.11%","41765858","926244617","1225.529","1.40","-14.112","107447394184.33","3836190437","-4.89%","-4.28%","-0.26%","-18.13%","-17.95%","1224.941","1232.879","1206.504"
"160","BK2563","喜马拉雅资本持仓","1892.696","-15.560","-0.82%","-7.56%","-7.48%","161849723","24066357335","1907.913","0.54","19.468","6336805406246.8896","31107673999","-2.70%","-3.44%","7.54%","0.45%","14.45%","1908.256","1909.687","1887.437"
"161","BK2275","科技仪器","1520.481","-12.534","-0.82%","-13.32%","-16.90%","18326202","956254499","1529.084","0.75","39.493","171968017935.811","2888514260","-3.32%","-3.65%","4.84%","-12.99%","-9.15%","1533.015","1535.009","1516.187"
"162","BK2635","摩根士丹利持仓","1095.231","-9.159","-0.83%","-6.91%","-8.59%","1071509282","210240589515","1102.436","0.78","29.455","27349242668542.922","144271608888","-2.37%","-1.87%","7.50%","-3.55%","5.64%","1104.390","1105.292","1093.760"
"163","BK2639","法国巴黎银行持仓","1187.415","-9.948","-0.83%","-7.26%","-8.00%","1389703056","228652383513","1194.602","0.99","24.361","25463171178079.781","145565412803","-2.51%","-2.60%","6.85%","-1.21%","2.24%","1197.363","1198.588","1185.853"
"164","BK2627","安盛持仓","1186.680","-10.255","-0.86%","-7.39%","-8.79%","726657329","136964227069","1194.660","0.59","25.741","26007656787662.16","131324603224","-2.38%","-1.89%","7.60%","0.06%","1.63%","1196.935","1197.756","1185.094"
"165","BK2465","保险-专业","1445.071","-12.618","-0.87%","-11.37%","-9.41%","16159516","527737959","1456.978","0.83","10.602","70393059318.38","2506675189","-4.69%","-6.26%","-2.27%","-8.44%","2.78%","1457.689","1462.946","1440.930"
"166","BK2624","法国外贸银行持仓","1200.874","-10.566","-0.87%","-6.34%","-6.85%","1120207911","199053779808","1208.981","0.90","25.317","23306208836755.832","130106464717","-2.65%","-2.78%","6.94%","1.18%","4.29%","1211.440","1211.983","1199.314"
"167","BK2072","电子元件","1926.738","-17.452","-0.90%","-17.02%","-18.54%","25921358","868170216","1941.200","0.70","23.506","172886111536.564","4496938303","-7.12%","-7.76%","-4.07%","-12.49%","-11.66%","1944.190","1948.409","1922.639"
"168","BK2116","段永平概念","3390.621","-30.960","-0.90%","-4.93%","-4.55%","118870782","15288029548","3421.387","0.54","29.526","3186221295205.8701","23164228756","-2.28%","-3.01%","9.29%","10.06%","18.83%","3421.581","3422.014","3374.360"
"169","BK2479","抵押融资","995.835","-9.300","-0.93%","-24.81%","-23.85%","9856377","217226927","1001.970","1.44","4.489","40653201925.31","4458108380","-9.78%","-7.17%","-10.00%","-29.69%","-42.48%","1005.135","1013.097","985.193"
"170","BK2106","鞋类及配件","6709.500","-62.811","-0.93%","-16.75%","-23.33%","10394835","914027974","6779.808","0.60","28.868","225529790373.39","2081752493","-4.06%","-4.23%","4.14%","-24.15%","-11.26%","6772.311","6805.260","6693.463"
"171","BK2211","铝","1310.023","-12.474","-0.94%","14.12%","22.39%","7793499","472502150","1314.878","0.95","55.120","31654502640.1","1113780761","-5.41%","-6.61%","3.44%","9.83%","67.64%","1322.497","1331.987","1307.867"
"172","BK2442","5G概念","2405.037","-23.123","-0.95%","-5.65%","-6.32%","261999735","23641096653","2425.932","0.58","22.776","4529960649240.7803","46496246125","-2.34%","-2.87%","6.46%","8.27%","13.32%","2428.160","2428.160","2396.863"
"173","BK2559","红杉资本持仓","1644.001","-15.971","-0.96%","-6.03%","-6.50%","781204837","169747791780","1656.791","0.76","27.157","21173385999322.047","105082237253","-2.74%","-2.73%","6.82%","-0.13%","10.07%","1659.972","1659.976","1641.794"
"174","BK2253","电子游戏与多媒体","1958.032","-19.635","-0.99%","-21.82%","-25.80%","76425667","2658426608","1973.849","1.80","75.687","302382884373.771","6213267126","-3.43%","-2.13%","10.24%","-35.87%","-34.65%","1977.667","1988.111","1951.808"
"175","BK2997","大麻股","272.561","-2.800","-1.02%","-18.64%","-19.71%","43609334","230632569.592","274.800","2.75","-3.871","13088502325.67","2231282574","-10.56%","-16.47%","13.73%","-39.31%","-62.62%","275.361","277.784","268.160"
"176","BK2069","生物技术","3449.182","-35.441","-1.02%","-2.98%","-12.24%","776997078","8851790786","3461.788","2.07","-41.208","1173063247044.991","54632829529","0.44%","5.10%","12.04%","-16.55%","-7.93%","3484.623","3492.634","3440.417"
"177","BK2517","热门中概股","944.173","-9.765","-1.02%","-24.62%","-19.39%","255673704","7062434093.698","952.272","1.52","31.290","795543482852.15","28159663571","-5.02%","-5.79%","18.55%","-38.72%","-55.82%","953.938","975.508","943.064"
"178","BK2030","广告公司","1313.078","-13.612","-1.03%","-12.32%","-12.01%","22952607","461625351","1326.674","0.79","24.614","69699274722.044","3846199009","-4.99%","-7.16%","0.52%","-17.28%","-19.10%","1326.690","1337.657","1310.197"
"179","BK2225","饭馆","1399.969","-14.566","-1.03%","-9.46%","-15.32%","35391264","2992771827","1409.112","0.80","26.919","475064245256.629","5011100164","-3.09%","-0.35%","4.73%","-11.99%","-9.24%","1414.535","1414.537","1398.122"
"180","BK2570","网络安全概念","1655.948","-17.266","-1.03%","-7.32%","-12.54%","39409441","4333721828","1674.119","0.65","57.980","523771413007.91","6445722299","-3.61%","-2.11%","6.11%","-12.70%","12.00%","1673.214","1680.366","1653.674"
"181","BK2055","汽车零件","2513.629","-26.715","-1.05%","-21.51%","-21.38%","51390308","1095393125","2533.401","1.12","29.072","157833070503.385","6098699090","-6.67%","-6.50%","2.83%","-21.49%","-22.90%","2540.344","2563.827","2510.901"
"182","BK2636","普信集团持仓","1213.950","-12.939","-1.05%","-7.94%","-9.81%","691414336","132379550283","1223.850","0.64","30.135","23531219676707.82","114214279890","-2.91%","-2.62%","7.49%","-5.06%","0.39%","1226.889","1226.880","1212.170"
"183","BK2046","度假村和赌场","4442.228","-48.162","-1.07%","-13.82%","-15.73%","24244332","1136584001","4477.225","1.30","-83.057","118403169935.66","3164634259","-8.67%","-9.02%","-3.27%","-21.37%","-35.19%","4490.390","4514.265","4387.537"
"184","BK2094","博彩","3124.731","-34.283","-1.09%","-18.32%","-23.80%","27504962","471539677","3145.028","2.27","-58.167","34687058513.936","1898950110","-9.16%","-7.87%","-1.40%","-40.76%","-36.10%","3159.014","3174.445","3081.794"
"185","BK2588","数字音乐","587.264","-6.626","-1.12%","-4.77%","-5.78%","102259879","13469369920","592.014","0.55","28.745","2952307919747.3999","19987425436","-2.54%","-2.86%","9.68%","13.32%","24.25%","593.890","593.890","584.555"
"186","BK2536","淡马锡持仓","1736.918","-19.691","-1.12%","-13.17%","-15.01%","454684613","35993466120","1752.689","1.10","38.461","5122502160869.3652","54584728348","-4.56%","-3.62%","8.53%","-19.21%","-12.40%","1756.609","1759.492","1734.989"
"187","BK2075","消费类电子","3996.193","-45.785","-1.13%","-4.27%","-5.28%","84195485","13215497987","4042.127","0.46","28.112","2911318989691.438","18981919783","-2.53%","-2.89%","9.47%","11.30%","21.06%","4041.978","4042.127","3977.689"
"188","BK2629","荷兰全球保险持仓","1166.402","-13.943","-1.18%","-7.35%","-8.52%","624441917","106858997407","1177.930","0.59","27.416","20066213847833.648","109113111071","-3.29%","-3.00%","6.80%","0.22%","0.95%","1180.345","1180.339","1164.837"
"189","BK2561","NFT概念","3138.978","-37.665","-1.19%","-28.59%","-22.58%","113776797","4017605677","3173.377","2.67","15.327","356010392199.934","6513578503","-7.03%","-8.81%","16.49%","-40.15%","-45.85%","3176.643","3220.626","3133.087"
"190","BK2556","太空概念","867.601","-10.480","-1.19%","3.56%","7.22%","25706390","2619780430","877.481","1.47","49.717","338615160859.71","2775700783","-1.30%","-1.57%","4.14%","2.13%","-4.24%","878.081","881.547","864.569"
"191","BK2008","出版","1409.977","-17.067","-1.20%","4.22%","-2.21%","2741643","72999294","1408.438","0.09","32.825","84357367364.18","3175840644","0.85%","1.23%","10.78%","3.05%","13.00%","1427.044","1427.044","1404.255"
"192","BK2584","人脸识别","855.762","-10.397","-1.20%","-9.15%","-11.67%","143570378","25551899232","864.736","0.52","29.998","5711792552375.4697","28508096690","-2.96%","-2.19%","9.31%","-1.46%","12.48%","866.159","866.159","852.774"
"193","BK2273","租赁服务","1499.910","-18.924","-1.25%","-8.49%","-10.61%","18082690","1205383372","1518.062","1.31","18.087","109795388308.25","2287581210","-4.72%","-7.96%","1.17%","-7.09%","5.89%","1518.834","1528.560","1497.343"
"194","BK2120","索罗斯持仓","1635.359","-20.653","-1.25%","-10.27%","-11.78%","266021419","28481900629","1654.098","0.68","30.609","6830783524451.6514","48069301344","-4.01%","-4.61%","4.08%","-11.69%","-0.56%","1656.012","1655.966","1633.360"
"195","BK2089","航天军工","3856.735","-48.812","-1.25%","4.38%","8.09%","78173243","4415324627","3911.158","1.21","45.075","760184914211.8781","8401816398","-1.71%","-2.72%","2.91%","0.57%","2.41%","3905.547","3925.251","3850.896"
"196","BK2571","ESG概念","1458.752","-18.558","-1.26%","-10.00%","-14.74%","153055422","33324975299","1471.881","0.66","33.810","5462606447850.1504","23699752403","-3.63%","-2.75%","5.85%","-5.90%","-10.16%","1477.310","1477.257","1456.618"
"197","BK2090","航空公司","2044.055","-26.413","-1.28%","-12.32%","-7.24%","82426915","2080003988","2068.967","2.20","-13.700","140609976577.62","4679411316","-7.01%","-3.21%","8.89%","-17.41%","-29.82%","2070.468","2075.461","2039.249"
"198","BK2577","无线充电","614.466","-7.952","-1.28%","-5.03%","-5.94%","97793646","15765364843","622.166","0.51","28.419","3125060015578.6201","19353636262","-2.87%","-3.57%","8.19%","13.34%","24.13%","622.418","622.418","612.227"
"199","BK2432","流媒体概念","2457.745","-32.794","-1.32%","-9.34%","-10.54%","196757410","31542405158","2490.089","0.58","27.219","7529771695888.4307","34461682356","-3.53%","-3.80%","7.25%","-6.13%","3.78%","2490.539","2490.539","2453.378"
"200","BK2499","纺织制造","948.554","-12.817","-1.33%","-11.28%","-12.41%","345610","19042211","961.227","0.52","20.230","3011698311.31","78234535","-5.85%","-7.86%","-3.87%","-15.68%","-29.66%","961.371","967.265","946.670"
