"序号","代码","名称","最新价","涨跌幅","成交额","今开","市盈率(静)","总市值","流通市值","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"94","OPRA","欧朋公司","5.730","0.17%","350278","5.860","亏损","659785812.18","99259208.52","-5.29%","-1.55%","20.38%","-20.08%","-35.18%","-45.58%","-18.84%","互联网内容与信息"
"95","WB","微博","24.900","0.16%","9693973","25.070","13.387","5890390612.8","1687211823.9","-2.81%","-1.89%","16.30%","-29.06%","-49.34%","-50.22%","-19.63%","互联网内容与信息"
"96","FENG","凤凰新媒体","0.591","0.15%","41567","0.578","亏损","43004651.032","18013858.886","7.59%","1.95%","-5.43%","-28.82%","-53.11%","-63.30%","-31.46%","互联网内容与信息"
"97","CEA","东方航空","16.490","0.12%","113047","16.550","亏损","6224790328.49","1612241464.91","-3.57%","-4.46%","-7.57%","-18.37%","-17.84%","-28.58%","-10.86%","航空公司"
"98","BAOS","宝盛传媒集团","0.566","0.11%","96410","0.565","2.386","16549899.43","4336906.548","-4.33%","-3.96%","17.91%","-40.22%","-67.12%","-90.09%","-36.83%","广告公司"
"99","NTES","网易","93.040","0.08%","107382225","92.680","23.674","62428042281.12","34599390676.48","-2.89%","-0.66%","17.64%","-11.83%","-4.33%","-11.92%","-8.17%","电子游戏与多媒体"
"100","AMCF","星源燃料","0.000","0.00%","0","0.000","-","1026","1026","0.00%","0.00%","0.00%","0.00%","0.00%","-99.92%","0.00%","-"
"101","CXDC","鑫达集团","0.015","0.00%","0","0.015","亏损","1072342.383","436424.224","42.06%","42.06%","-67.17%","-58.01%","-96.54%","-98.57%","-56.70%","-"
"102","QKLS","庆客隆","0.000","0.00%","0","0.000","-","1.522","1.362","0.00%","0.00%","0.00%","-100.00%","-99.50%","-100.00%","0.00%","-"
"103","KGJI","金凰珠宝","0.000","0.00%","0","0.000","-","2249.65","1512.94","100.00%","100.00%","100.00%","100.00%","100.00%","-99.88%","19900.00%","-"
"104","CALI","中国汽车物流","0.000","0.00%","0","0.000","-","484.039","238.626","0.00%","0.00%","0.00%","9900.00%","-99.67%","-99.96%","9900.00%","-"
"105","CEO","中国海洋石油","121.760","0.00%","0","0.000","1352.888","54362742303.84","19017449297.12","0.00%","0.00%","-0.37%","25.66%","28.56%","35.62%","32.85%","油气E&P"
